labels,mm_x,mm_y,mm_z,surfmm_x,surfmm_y,surfmm_z,vox_x,vox_y,vox_z,roi,roiNum
LA9,-59.87037037037038,-24.01851851851852,-22.37037037037038,-58.87037037037038,-7.018518518518519,-41.37037037037038,186,169,120,ctx-lh-inferiortemporal,1009.0
LA10,-64.37931034482759,-27.706896551724142,-22.741379310344826,-63.37931034482759,-10.706896551724142,-41.741379310344826,191,169,117,ctx-lh-middletemporal,1015.0
LA11,-68.57894736842104,-32.026315789473685,-24.92105263157896,-67.57894736842104,-15.026315789473683,-43.92105263157896,195,171,112,ctx-lh-middletemporal,1015.0
LB1,-24.52272727272728,-10.318181818181811,-21.954545454545467,-23.52272727272728,6.681818181818187,-40.95454545454547,151,168,134,Left-Hippocampus,17.0
LB2,-28.37209302325581,-12.720930232558146,-21.04651162790697,-27.37209302325581,4.279069767441854,-40.046511627906966,155,168,132,Left-Hippocampus,17.0
LB3,-33.45238095238096,-15.571428571428584,-21.952380952380963,-32.45238095238096,1.4285714285714164,-40.95238095238096,160,168,129,Left-Hippocampus,17.0
LB4,-39.203389830508485,-18.762711864406786,-22.32203389830508,-38.203389830508485,-1.762711864406782,-41.32203389830508,166,169,126,ctx-lh-fusiform,1007.0
LB5,-44.02777777777777,-20.47222222222223,-21.97222222222223,-43.02777777777777,-3.4722222222222285,-40.97222222222223,171,168,124,ctx-lh-inferiortemporal,1009.0
LB6,-48.67500000000001,-22.599999999999994,-20.65000000000001,-47.67500000000001,-5.599999999999994,-39.650000000000006,175,167,122,ctx-lh-inferiortemporal,1009.0
LB7,-52.400000000000006,-24.599999999999994,-19.15555555555557,-51.400000000000006,-7.599999999999994,-38.155555555555566,179,166,120,ctx-lh-inferiortemporal,1009.0
LB8,-58.246153846153845,-27.123076923076923,-17.64615384615385,-57.246153846153845,-10.123076923076924,-36.64615384615385,185,164,117,ctx-lh-middletemporal,1015.0
LB9,-62.94736842105263,-30.39473684210526,-19.31578947368422,-61.94736842105263,-13.39473684210526,-38.31578947368422,189,166,114,ctx-lh-middletemporal,1015.0
LB10,-67.2439024390244,-35.609756097560975,-20.82926829268294,-66.2439024390244,-18.60975609756097,-39.82926829268294,194,167,109,ctx-lh-inferiortemporal,1009.0
LC1,-36.74242424242425,14.25757575757575,-10.393939393939403,-35.74242424242425,31.25757575757575,-29.393939393939405,163,157,159,ctx-lh-insula,1035.0
LC2,-40.77586206896552,14.0,-7.672413793103459,-39.77586206896552,31.0,-26.67241379310346,167,154,159,ctx-lh-insula,1035.0
LC3,-44.760563380281695,13.901408450704224,-4.563380281690144,-43.760563380281695,30.901408450704224,-23.563380281690144,171,151,158,ctx-lh-parsopercularis,1018.0
LC4,-49.892307692307696,14.784615384615392,-2.1999999999999886,-48.892307692307696,31.784615384615392,-21.19999999999999,176,149,159,ctx-lh-parsopercularis,1018.0
LC5,-55.0,15.659090909090908,0.613636363636374,-54.0,32.65909090909091,-18.386363636363622,182,146,160,ctx-lh-parsopercularis,1018.0
LD1,-18.15000000000001,13.5,-25.69999999999999,-17.150000000000006,30.5,-44.69999999999999,145,172,158,ctx-lh-lateralorbitofrontal,1012.0
LD2,-19.78125,15.875,-21.71875,-18.78125,32.875,-40.71875,146,168,160,ctx-lh-lateralorbitofrontal,1012.0
LD3,-21.35483870967741,18.129032258064512,-17.774193548387103,-20.35483870967741,35.12903225806451,-36.7741935483871,148,164,163,ctx-lh-lateralorbitofrontal,1012.0
LD5,-24.02380952380952,22.904761904761894,-7.666666666666657,-23.02380952380952,39.9047619047619,-26.666666666666657,151,154,167,ctx-lh-lateralorbitofrontal,1012.0
LD6,-25.599999999999994,24.422222222222217,-3.4000000000000057,-24.599999999999994,41.42222222222222,-22.40000000000001,152,150,169,ctx-lh-lateralorbitofrontal,1012.0
LD7,-26.72340425531914,25.87234042553192,2.3191489361702224,-25.72340425531914,42.87234042553192,-16.680851063829778,153,144,170,ctx-lh-lateralorbitofrontal,1012.0
LD8,-27.775862068965523,27.67241379310346,7.84482758620689,-26.775862068965523,44.67241379310346,-11.15517241379311,154,139,172,ctx-lh-parstriangularis,1020.0
LD9,-29.376811594202906,29.65217391304347,13.028985507246375,-28.376811594202906,46.65217391304347,-5.971014492753625,156,133,174,ctx-lh-parstriangularis,1020.0
LD10,-30.773195876288668,32.90721649484536,21.5360824742268,-29.773195876288668,49.90721649484536,2.536082474226802,157,125,177,ctx-lh-rostralmiddlefrontal,1027.0
LD11,-31.82539682539684,35.0952380952381,27.41269841269842,-30.82539682539684,52.0952380952381,8.412698412698418,158,119,180,ctx-lh-rostralmiddlefrontal,1027.0
LD12,-36.02941176470589,35.23529411764707,32.44117647058823,-35.029411764705884,52.23529411764707,13.441176470588232,163,114,180,ctx-lh-rostralmiddlefrontal,1027.0
LE6,-36.459016393442624,40.21311475409837,-0.4754098360655803,-35.459016393442624,57.21311475409837,-19.47540983606558,163,147,185,ctx-lh-parstriangularis,1020.0
LE7,-41.72463768115941,41.376811594202906,0.0,-40.72463768115941,58.376811594202906,-19.0,168,147,186,ctx-lh-parstriangularis,1020.0
LE8,-47.57647058823528,40.52941176470589,0.7647058823529278,-46.57647058823528,57.52941176470589,-18.235294117647072,174,146,185,ctx-lh-parstriangularis,1020.0
LE9,-53.34375,38.3125,0.40625,-52.34375,55.3125,-18.59375,180,146,183,ctx-lh-parstriangularis,1020.0
LF1,-36.93939393939394,18.606060606060595,-35.09090909090909,-35.93939393939394,35.606060606060595,-54.09090909090909,163,182,163,ctx-lh-temporalpole,1033.0
LF2,-38.60869565217391,14.5,-32.717391304347814,-37.60869565217391,31.5,-51.71739130434781,165,179,159,ctx-lh-superiortemporal,1030.0
LF3,-39.72727272727272,9.0151515151515,-31.181818181818187,-38.72727272727272,26.0151515151515,-50.18181818181819,166,178,154,ctx-lh-temporalpole,1033.0
LF6,-42.21739130434781,-8.239130434782595,-23.67391304347825,-41.21739130434781,8.760869565217405,-42.67391304347825,169,170,136,ctx-lh-inferiortemporal,1009.0
LF7,-42.05454545454546,-13.472727272727267,-21.690909090909088,-41.05454545454546,3.527272727272731,-40.69090909090909,169,168,131,ctx-lh-inferiortemporal,1009.0
LF8,-42.46000000000001,-18.36,-20.639999999999983,-41.46000000000001,-1.3599999999999994,-39.63999999999999,169,167,126,ctx-lh-inferiortemporal,1009.0
LF9,-43.80000000000001,-23.8,-17.900000000000006,-42.80000000000001,-6.799999999999997,-36.900000000000006,170,164,121,ctx-lh-inferiortemporal,1009.0
LF10,-44.78787878787878,-28.939393939393938,-17.363636363636374,-43.78787878787878,-11.939393939393938,-36.36363636363637,171,164,116,ctx-lh-inferiortemporal,1009.0
